Ngay,Tinh,Huyen,Xa,Kinh Do,Vi Do
11/08/2020,Bình Định,Vân Canh,Canh Vinh,109.08432,13.68228
11/08/2020,Bình Định,Vân Canh,Canh Vinh,109.08797,13.68168
11/08/2020,Bình Định,Vân Canh,Canh Vinh,109.08377,13.67889
11/08/2020,Bình Định,Vân Canh,Canh Vinh,109.08745,13.67828
11/08/2020,Hà Tĩnh,TX. Kỳ Anh,P. Kỳ Phương,106.43526,18.02655
11/08/2020,Hà Tĩnh,TX. Kỳ Anh,P. Kỳ Phương,106.42414,18.03169
11/08/2020,Hà Tĩnh,TX. Kỳ Anh,P. Kỳ Phương,106.43471,18.02313
11/08/2020,Quảng Bình,Tuyên Hoá,VănHóa,106.27922,17.76016
11/08/2020,Quảng Bình,Quảng Trạch,Cảnh Hóa,106.29139,17.7929
11/08/2020,Quảng Ngãi,Bình Sơn,Bình Đông,108.79013,15.38449
11/08/2020,Nghệ An,Đô Lương,Bài Sơn,105.35406,18.93696
11/08/2020,Phú Yên,Đồng Xuân,Đa Lộc,109.11066,13.52041
11/08/2020,Quảng Trị,Gio Linh,Linh Thượng,106.81449,16.82669
11/08/2020,Thừa Thiên Huế,Phong Điền,Phong An,107.36882,16.54006
10/08/2020,Thanh Hoá,Thanh Hóa,Đông Cương,105.76237,19.83265
10/08/2020,Thanh Hoá,Thanh Hóa,P. Đông Thọ,105.7646,19.82135
10/08/2020,Thanh Hoá,Thanh Hóa,P. Đông Thọ,105.76385,19.82512
10/08/2020,Thanh Hoá,Tĩnh Gia,Hải Thượng,105.78979,19.33459
10/08/2020,Thanh Hoá,Tĩnh Gia,Tân Trường,105.65558,19.37789
10/08/2020,Thanh Hoá,Tĩnh Gia,Tân Trường,105.65857,19.37949
10/08/2020,Thanh Hoá,Như Thanh,Hải Long,105.5623,19.64516
10/08/2020,Thanh Hoá,Như Thanh,Hải Long,105.56158,19.64898
10/08/2020,Thanh Hoá,TX. Bỉm Sơn,P. Đông Sơn,105.91068,20.07432
10/08/2020,Thanh Hoá,Như Xuân,Bình Lương,105.46083,19.6347
10/08/2020,Quảng Nam,Hiệp Đức,Hiệp Hòa,108.053,15.59
10/08/2020,Quảng Nam,Hiệp Đức,Hiệp Thuận,108.0797,15.60277
10/08/2020,Quảng Nam,Hiệp Đức,Hiệp Thuận,108.08385,15.60345
10/08/2020,Quảng Nam,Hiệp Đức,Hiệp Thuận,108.075,15.594
10/08/2020,Quảng Nam,Hiệp Đức,Hiệp Thuận,108.082,15.596
10/08/2020,Quảng Nam,Nông Sơn,Quế Ninh,108.031,15.663
10/08/2020,Quảng Nam,Nông Sơn,Quế Ninh,108.027,15.661
10/08/2020,Quảng Nam,Nam Giang,TT. Thạnh Mỹ,107.78165,15.78609
10/08/2020,Quảng Trị,Gio Linh,Linh Thượng,106.81773,16.82945
10/08/2020,Quảng Trị,Gio Linh,Linh Thượng,106.81827,16.8257
10/08/2020,Quảng Trị,Cam Lộ,Cam Tuyền,106.88467,16.80937
10/08/2020,Quảng Trị,Cam Lộ,Cam Tuyền,106.88524,16.81302
10/08/2020,Quảng Trị,Triệu Phong,Triệu ái,107.05574,16.6992
10/08/2020,Quảng Trị,Triệu Phong,Triệu ái,107.04988,16.70579
10/08/2020,Quảng Trị,Vĩnh Linh,Vĩnh Sơn,106.987,16.984
10/08/2020,Quảng Trị,Hướng Hóa,Hướng Sơn,106.7375,16.85013
10/08/2020,Hà Tĩnh,Kỳ Anh,Kỳ Lạc,106.26736,17.92719
10/08/2020,Hà Tĩnh,Kỳ Anh,Kỳ Thọ,106.25124,18.12667
10/08/2020,Hà Tĩnh,Kỳ Anh,Kỳ Thọ,106.24825,18.12564
10/08/2020,Hà Tĩnh,Kỳ Anh,Kỳ Trung,106.21433,18.14687
10/08/2020,Hà Tĩnh,Hương Khê,Hương Trạch,105.80655,18.1017
10/08/2020,Hà Tĩnh,Hương Khê,Lộc Yên,105.84303,18.2096
