province,district,ward,lat,long
Gia Lai,Chư Păh,Chư Đăng Ya,14.1314549268627,108.054193766766
Gia Lai,Chư Păh,Chư Jôr,14.0974919980041,108.033231971652
Gia Lai,Chư Păh,Đăk Tơ Ver,14.1980613985929,108.078922477305
Gia Lai,Chư Păh,Hà Tây,14.2905272651068,108.140727221515
Gia Lai,Chư Păh,Hòa Phú,14.1564887628977,107.97379956979
Gia Lai,Chư Păh,Ia Ka,14.1265103386059,107.824709533924
Gia Lai,Chư Păh,Ia Khươl,14.2123741188629,108.005762209806
Gia Lai,Chư Păh,Ia Kreng,14.1742852072925,107.726439374238
Gia Lai,Chư Păh,Ia Mơ Nông,14.1713165664278,107.822507044246
Gia Lai,Chư Păh,Ia Nhin,14.1059360128402,107.868891693872
Gia Lai,Chư Păh,Ia Phí,14.2237797951841,107.905597861101
Gia Lai,Chư Păh,Nghĩa Hòa,14.1094512496941,107.920655307475
Gia Lai,Chư Păh,Nghĩa Hưng,14.0846513900821,107.992213858783
Gia Lai,Chư Păh,TT. Ia Ly,14.2261617810971,107.851013451266
Gia Lai,Chư Păh,TT. Phú Hòa,14.1139729433084,107.974156612436
Gia Lai,Chư Prông,Bàu Cạn,13.852598849189,107.920332471968
Gia Lai,Chư Prông,Bình Giáo,13.8287214550802,107.85177979545
Gia Lai,Chư Prông,Ia Bang,13.7146305515858,107.983684562164
Gia Lai,Chư Prông,Ia Băng,13.8067162598679,107.988967025608
Gia Lai,Chư Prông,Ia Boòng,13.6885467358478,107.821833708399
Gia Lai,Chư Prông,Ia Drang,13.7672332725179,107.850435611461
Gia Lai,Chư Prông,Ia Ga,13.5704356023492,107.854826078175
Gia Lai,Chư Prông,Ia Kly,13.739953980839,107.922584925152
Gia Lai,Chư Prông,Ia Lâu,13.4904565198594,107.876304928598
Gia Lai,Chư Prông,Ia Me,13.6639571149959,107.864687439871
Gia Lai,Chư Prông,Ia Mơ,13.4617071915249,107.710101155545
Gia Lai,Chư Prông,Ia O,13.7120883503228,107.795635456352
Gia Lai,Chư Prông,Ia Phìn,13.7951752291516,107.942560679043
Gia Lai,Chư Prông,Ia Pia,13.6451885119017,107.918152718989
Gia Lai,Chư Prông,Ia Piơr,13.423182678863,107.863376061866
Gia Lai,Chư Prông,Ia Púch,13.6196873821428,107.692192329642
Gia Lai,Chư Prông,Ia Tôr,13.7278048291811,107.955418997126
Gia Lai,Chư Prông,Ia Vê,13.6235992567127,107.96247701941
Gia Lai,Chư Prông,Thăng Hưng,13.823747079404,107.900762254574
Gia Lai,Chư Prông,TT. Chư Prông,13.7492520364402,107.893421809877
Gia Lai,Chư Pưh,Chư Don,13.5398481942869,108.061201591504
Gia Lai,Chư Pưh,Ia Blứ,13.4460456457554,108.005393685391
Gia Lai,Chư Pưh,Ia Dreng,13.5981480859114,108.07609693719
Gia Lai,Chư Pưh,Ia Hla,13.5489062933181,107.985800533291
Gia Lai,Chư Pưh,Ia Hrú,13.5780625662097,108.137470907131
Gia Lai,Chư Pưh,Ia Le,13.432883810538,108.147309703016
Gia Lai,Chư Pưh,Ia Phang,13.5052539500674,108.165924744982
Gia Lai,Chư Pưh,Ia Rong,13.6154952584878,108.136308454292
Gia Lai,Chư Pưh,TT. Nhơn Hòa,13.555116255218,108.109534966785
Gia Lai,Chư Sê,Al Bá,13.7502737286522,108.125355852482
Gia Lai,Chư Sê,Ayun,13.6983899461131,108.167181171027
Gia Lai,Chư Sê,Bar Măih,13.8305619937459,108.127401867278
Gia Lai,Chư Sê,Bờ Ngoong,13.7870044626382,108.120511699806
Gia Lai,Chư Sê,Chư Pơng,13.7860005738548,108.044862931354
Gia Lai,Chư Sê,Dun,13.7226293715178,108.092253305682
Gia Lai,Chư Sê,HBông,13.6271742407232,108.222329013709
Gia Lai,Chư Sê,Ia Blang,13.6530058986423,108.082808460393
Gia Lai,Chư Sê,Ia Glai,13.7417236636722,108.023223355994
Gia Lai,Chư Sê,Ia Hlốp,13.6656430099907,108.042861743412
Gia Lai,Chư Sê,Ia Ko,13.619416221581,108.022049319932
Gia Lai,Chư Sê,Ia Pal,13.6591065080168,108.119865435496
Gia Lai,Chư Sê,Ia Tiêm,13.8293363950895,108.052718836627
Gia Lai,Chư Sê,Kông HTok,13.7007742406375,108.132075456495
Gia Lai,Chư Sê,TT. Chư Sê,13.7148826549024,108.067513803607
Gia Lai,Đăk Đoa,A Dơk,13.9362510312059,108.094673148603
Gia Lai,Đăk Đoa,Đăk Krong,14.1362030362287,108.11720212808
Gia Lai,Đăk Đoa,Đăk Sơ Mei,14.1898239109699,108.184465942145
Gia Lai,Đăk Đoa,Glar,13.9444472759024,108.134508718302
Gia Lai,Đăk Đoa,Hà Bầu,14.0629398986871,108.070372064482
Gia Lai,Đăk Đoa,Hà Đông,14.3073847917917,108.261943822397
Gia Lai,Đăk Đoa,Hải Yang,14.1165629920296,108.220120253529
Gia Lai,Đăk Đoa,HNeng,14.0143262815935,108.10482148165
Gia Lai,Đăk Đoa,HNol,13.9234470630524,108.20195811235
Gia Lai,Đăk Đoa,Ia Băng,13.8913753992391,108.048089654416
Gia Lai,Đăk Đoa,Ia Pết,13.8893159334492,108.105961669539
Gia Lai,Đăk Đoa,KDang,14.0098868142542,108.192735811474
Gia Lai,Đăk Đoa,Kon Gang,14.081887723254,108.150058065913
Gia Lai,Đăk Đoa,Nam Yang,14.058161502234,108.099082743973
Gia Lai,Đăk Đoa,Tân Bình,13.9895733423363,108.14795649353
Gia Lai,Đăk Đoa,Trang,13.8728551225702,108.176748304286
Gia Lai,Đăk Đoa,TT. Đăk Đoa,13.9890663737648,108.11143662112
Gia Lai,Đak Pơ,An Thành,13.9699648219985,108.522668393657
Gia Lai,Đak Pơ,Cư An,13.9878893838707,108.605406322509
Gia Lai,Đak Pơ,Hà Tam,14.0002930724196,108.462448971266
Gia Lai,Đak Pơ,Phú An,13.9218520938455,108.651914929498
