date,province,max_temp,min_temp,wx,precip
01/06/2021,Gia Lai,35,27,Mostly Cloudy,0.0
02/06/2021,Gia Lai,33,27,Mostly Cloudy,0.0
03/06/2021,Gia Lai,35,27,Mostly Cloudy,0.0
04/06/2021,Gia Lai,36,27,Mostly Cloudy,0.0
05/06/2021,Gia Lai,36,25,Mostly Cloudy,1.42
06/06/2021,Gia Lai,37,27,Mostly Cloudy,1.42
07/06/2021,Gia Lai,36,27,Mostly Cloudy,1.42
08/06/2021,Gia Lai,34,27,Mostly Cloudy,1.42
09/06/2021,Gia Lai,32,27,Mostly Cloudy,1.42
10/06/2021,Gia Lai,33,27,Mostly Cloudy,1.42
11/06/2021,Gia Lai,33,27,Mostly Cloudy,1.42
12/06/2021,Gia Lai,32,27,Mostly Cloudy,1.42
13/06/2021,Gia Lai,35,27,Mostly Cloudy,1.42
14/06/2021,Gia Lai,36,27,Mostly Cloudy,1.42
15/06/2021,Gia Lai,35,27,Mostly Cloudy,1.42
16/06/2021,Gia Lai,36,27,Mostly Cloudy,1.42
17/06/2021,Gia Lai,35,27,Mostly Cloudy,1.44
18/06/2021,Gia Lai,35,27,Mostly Cloudy,1.44
19/06/2021,Gia Lai,36,27,Mostly Cloudy,1.44
20/06/2021,Gia Lai,37,27,Mostly Cloudy,2.18
21/06/2021,Gia Lai,37,24,Mostly Cloudy,2.43
22/06/2021,Gia Lai,36,26,Mostly Cloudy,2.51
23/06/2021,Gia Lai,37,27,Mostly Cloudy,2.51
24/06/2021,Gia Lai,36,27,Mostly Cloudy,2.51
25/06/2021,Gia Lai,35,27,Mostly Cloudy,2.51
26/06/2021,Gia Lai,34,27,Mostly Cloudy,2.51
27/06/2021,Gia Lai,35,27,Mostly Cloudy,2.51
28/06/2021,Gia Lai,37,27,Mostly Cloudy,2.51
29/06/2021,Gia Lai,36,27,Mostly Cloudy,2.51
30/06/2021,Gia Lai,35,27,Mostly Cloudy,2.51
01/05/2021,Gia Lai,31,25,Partly Cloudy,0.0
02/05/2021,Gia Lai,32,25,Partly Cloudy,0.0
03/05/2021,Gia Lai,32,26,Partly Cloudy,0.0
04/05/2021,Gia Lai,32,25,Partly Cloudy,0.0
05/05/2021,Gia Lai,32,26,Partly Cloudy,0.0
06/05/2021,Gia Lai,32,26,Partly Cloudy,0.22
07/05/2021,Gia Lai,31,26,Partly Cloudy,0.22
08/05/2021,Gia Lai,32,26,Partly Cloudy,0.22
09/05/2021,Gia Lai,32,25,Partly Cloudy,0.22
10/05/2021,Gia Lai,32,26,Partly Cloudy,0.22
11/05/2021,Gia Lai,33,26,Partly Cloudy,0.22
12/05/2021,Gia Lai,33,26,Partly Cloudy,0.22
13/05/2021,Gia Lai,32,26,Partly Cloudy,0.22
14/05/2021,Gia Lai,32,26,Partly Cloudy,0.22
15/05/2021,Gia Lai,32,27,Partly Cloudy,0.22
16/05/2021,Gia Lai,33,26,Partly Cloudy,0.22
17/05/2021,Gia Lai,32,27,Partly Cloudy,0.27
18/05/2021,Gia Lai,33,27,Partly Cloudy,0.27
19/05/2021,Gia Lai,33,26,Partly Cloudy,0.27
20/05/2021,Gia Lai,33,26,Partly Cloudy,0.27
21/05/2021,Gia Lai,33,26,Partly Cloudy,0.27
22/05/2021,Gia Lai,33,26,Partly Cloudy,0.27
23/05/2021,Gia Lai,32,26,Partly Cloudy,5.51
24/05/2021,Gia Lai,31,26,Partly Cloudy,5.51
25/05/2021,Gia Lai,32,26,Partly Cloudy,5.51
26/05/2021,Gia Lai,31,26,Partly Cloudy,5.51
27/05/2021,Gia Lai,31,26,Partly Cloudy,5.51
28/05/2021,Gia Lai,32,26,Partly Cloudy,5.51
29/05/2021,Gia Lai,33,26,Partly Cloudy,5.51
30/05/2021,Gia Lai,34,27,Partly Cloudy,5.51
31/05/2021,Gia Lai,35,27,Partly Cloudy,5.51
01/04/2021,Gia Lai,31,25,Mostly Cloudy,0.0
02/04/2021,Gia Lai,31,25,Mostly Cloudy,0.0
03/04/2021,Gia Lai,30,25,Mostly Cloudy,0.0
04/04/2021,Gia Lai,31,25,Mostly Cloudy,0.0
05/04/2021,Gia Lai,31,25,Mostly Cloudy,0.15
06/04/2021,Gia Lai,30,24,Mostly Cloudy,0.3
07/04/2021,Gia Lai,31,24,Mostly Cloudy,0.33
08/04/2021,Gia Lai,30,24,Mostly Cloudy,0.33
09/04/2021,Gia Lai,30,24,Mostly Cloudy,1.44
10/04/2021,Gia Lai,29,24,Mostly Cloudy,1.72
11/04/2021,Gia Lai,30,25,Mostly Cloudy,1.95
12/04/2021,Gia Lai,31,25,Mostly Cloudy,1.95
13/04/2021,Gia Lai,31,25,Mostly Cloudy,1.95
14/04/2021,Gia Lai,31,25,Mostly Cloudy,1.98
15/04/2021,Gia Lai,31,24,Mostly Cloudy,1.98
16/04/2021,Gia Lai,31,25,Mostly Cloudy,1.98
17/04/2021,Gia Lai,31,24,Mostly Cloudy,1.98
18/04/2021,Gia Lai,31,24,Mostly Cloudy,1.98
19/04/2021,Gia Lai,30,24,Mostly Cloudy,1.98
20/04/2021,Gia Lai,31,25,Mostly Cloudy,1.98
21/04/2021,Gia Lai,30,25,Mostly Cloudy,2.03
22/04/2021,Gia Lai,32,25,Mostly Cloudy,2.03
23/04/2021,Gia Lai,31,25,Mostly Cloudy,2.03
24/04/2021,Gia Lai,32,26,Mostly Cloudy,2.03
25/04/2021,Gia Lai,32,26,Mostly Cloudy,2.03
26/04/2021,Gia Lai,31,26,Mostly Cloudy,2.03
27/04/2021,Gia Lai,31,26,Mostly Cloudy,2.13
28/04/2021,Gia Lai,32,25,Mostly Cloudy,2.13
29/04/2021,Gia Lai,32,25,Mostly Cloudy,2.13
30/04/2021,Gia Lai,32,25,Mostly Cloudy,2.13
01/03/2021,Gia Lai,29,23,Mostly Cloudy,0.0
02/03/2021,Gia Lai,30,23,Mostly Cloudy,0.05
03/03/2021,Gia Lai,28,23,Mostly Cloudy,0.05
04/03/2021,Gia Lai,30,23,Mostly Cloudy,0.1
05/03/2021,Gia Lai,29,22,Mostly Cloudy,0.1
06/03/2021,Gia Lai,30,21,Mostly Cloudy,0.1
07/03/2021,Gia Lai,29,23,Mostly Cloudy,0.17
08/03/2021,Gia Lai,30,23,Mostly Cloudy,0.17
09/03/2021,Gia Lai,29,23,Mostly Cloudy,0.22
10/03/2021,Gia Lai,28,23,Mostly Cloudy,0.25
11/03/2021,Gia Lai,29,23,Mostly Cloudy,0.25
12/03/2021,Gia Lai,29,23,Mostly Cloudy,0.25
13/03/2021,Gia Lai,30,23,Mostly Cloudy,0.27
14/03/2021,Gia Lai,29,23,Mostly Cloudy,0.3
15/03/2021,Gia Lai,29,22,Mostly Cloudy,0.3
16/03/2021,Gia Lai,29,22,Mostly Cloudy,0.33
17/03/2021,Gia Lai,30,21,Mostly Cloudy,0.33
18/03/2021,Gia Lai,31,23,Mostly Cloudy,0.35
19/03/2021,Gia Lai,30,23,Mostly Cloudy,0.35
20/03/2021,Gia Lai,30,24,Mostly Cloudy,0.35
21/03/2021,Gia Lai,30,25,Mostly Cloudy,0.35
22/03/2021,Gia Lai,27,24,Mostly Cloudy,0.45
23/03/2021,Gia Lai,27,23,Mostly Cloudy,0.58
24/03/2021,Gia Lai,27,23,Mostly Cloudy,0.83
25/03/2021,Gia Lai,28,23,Mostly Cloudy,0.91
26/03/2021,Gia Lai,29,24,Mostly Cloudy,0.91
27/03/2021,Gia Lai,30,23,Mostly Cloudy,0.93
28/03/2021,Gia Lai,30,23,Mostly Cloudy,0.93
29/03/2021,Gia Lai,31,24,Mostly Cloudy,0.93
30/03/2021,Gia Lai,31,22,Mostly Cloudy,0.93
31/03/2021,Gia Lai,31,23,Mostly Cloudy,0.93
01/02/2021,Gia Lai,26,21,Mostly Cloudy,0.0
02/02/2021,Gia Lai,26,21,Mostly Cloudy,0.05
03/02/2021,Gia Lai,26,22,Mostly Cloudy,0.1
04/02/2021,Gia Lai,26,22,Mostly Cloudy,0.1
05/02/2021,Gia Lai,27,22,Mostly Cloudy,0.1
06/02/2021,Gia Lai,26,21,Mostly Cloudy,0.1
07/02/2021,Gia Lai,26,22,Mostly Cloudy,0.12
08/02/2021,Gia Lai,27,22,Mostly Cloudy,0.12
09/02/2021,Gia Lai,27,22,Mostly Cloudy,0.17
10/02/2021,Gia Lai,26,22,Mostly Cloudy,0.17
11/02/2021,Gia Lai,25,20,Mostly Cloudy,0.2
12/02/2021,Gia Lai,25,20,Mostly Cloudy,0.2
13/02/2021,Gia Lai,25,19,Mostly Cloudy,0.2
14/02/2021,Gia Lai,26,19,Mostly Cloudy,0.2
15/02/2021,Gia Lai,27,18,Mostly Cloudy,0.2
16/02/2021,Gia Lai,27,18,Mostly Cloudy,0.2
17/02/2021,Gia Lai,27,20,Mostly Cloudy,0.2
18/02/2021,Gia Lai,26,21,Mostly Cloudy,0.2
19/02/2021,Gia Lai,26,22,Mostly Cloudy,0.2
20/02/2021,Gia Lai,26,21,Mostly Cloudy,0.2
21/02/2021,Gia Lai,27,20,Mostly Cloudy,0.22
22/02/2021,Gia Lai,27,18,Mostly Cloudy,0.22
23/02/2021,Gia Lai,27,19,Mostly Cloudy,0.22
24/02/2021,Gia Lai,27,20,Mostly Cloudy,0.22
25/02/2021,Gia Lai,28,19,Mostly Cloudy,0.22
26/02/2021,Gia Lai,28,21,Mostly Cloudy,0.22
27/02/2021,Gia Lai,28,22,Mostly Cloudy,0.22
28/02/2021,Gia Lai,29,23,Mostly Cloudy,0.22
31/12/2020,Gia Lai,22,21,Rain Shower / Wind,0.15
02/01/2021,Gia Lai,22,20,Rain Shower / Wind,0.71
03/01/2021,Gia Lai,24,20,Rain Shower / Wind,0.86
04/01/2021,Gia Lai,25,22,Rain Shower / Wind,1.04
05/01/2021,Gia Lai,25,21,Rain Shower / Wind,1.24
06/01/2021,Gia Lai,24,22,Rain Shower / Wind,1.39
07/01/2021,Gia Lai,25,23,Rain Shower / Wind,1.42
08/01/2021,Gia Lai,26,22,Rain Shower / Wind,1.57
09/01/2021,Gia Lai,23,20,Rain Shower / Wind,2.26
10/01/2021,Gia Lai,23,20,Rain Shower / Wind,2.61
11/01/2021,Gia Lai,22,18,Rain Shower / Wind,2.92
12/01/2021,Gia Lai,21,16,Rain Shower / Wind,3.02
13/01/2021,Gia Lai,21,16,Rain Shower / Wind,3.02
14/01/2021,Gia Lai,25,18,Rain Shower / Wind,3.02
15/01/2021,Gia Lai,26,18,Rain Shower / Wind,3.02
16/01/2021,Gia Lai,26,20,Rain Shower / Wind,3.02
17/01/2021,Gia Lai,26,21,Rain Shower / Wind,3.04
18/01/2021,Gia Lai,24,20,Rain Shower / Wind,3.04
19/01/2021,Gia Lai,22,19,Rain Shower / Wind,3.07
20/01/2021,Gia Lai,27,20,Rain Shower / Wind,3.07
21/01/2021,Gia Lai,26,21,Rain Shower / Wind,3.07
22/01/2021,Gia Lai,27,22,Rain Shower / Wind,3.07
23/01/2021,Gia Lai,25,21,Rain Shower / Wind,3.07
24/01/2021,Gia Lai,26,20,Rain Shower / Wind,3.07
25/01/2021,Gia Lai,27,20,Rain Shower / Wind,3.07
26/01/2021,Gia Lai,27,21,Rain Shower / Wind,3.07
27/01/2021,Gia Lai,26,22,Rain Shower / Wind,3.12
28/01/2021,Gia Lai,26,22,Rain Shower / Wind,3.2
29/01/2021,Gia Lai,25,22,Rain Shower / Wind,3.2
30/01/2021,Gia Lai,26,21,Rain Shower / Wind,3.2
31/01/2021,Gia Lai,26,22,Rain Shower / Wind,3.22
01/12/2020,Gia Lai,27,24,Rain Shower,0.17
02/12/2020,Gia Lai,26,24,Rain Shower,0.27
03/12/2020,Gia Lai,26,23,Rain Shower,0.27
04/12/2020,Gia Lai,26,22,Rain Shower,0.33
05/12/2020,Gia Lai,24,22,Rain Shower,0.48
06/12/2020,Gia Lai,25,22,Rain Shower,0.48
07/12/2020,Gia Lai,26,23,Rain Shower,0.63
08/12/2020,Gia Lai,27,22,Rain Shower,0.71
09/12/2020,Gia Lai,26,21,Rain Shower,0.78
10/12/2020,Gia Lai,26,23,Rain Shower,0.93
11/12/2020,Gia Lai,27,24,Rain Shower,0.93
12/12/2020,Gia Lai,28,23,Rain Shower,0.93
13/12/2020,Gia Lai,28,24,Rain Shower,0.96
14/12/2020,Gia Lai,27,25,Rain Shower,0.96
15/12/2020,Gia Lai,27,25,Rain Shower,0.96
16/12/2020,Gia Lai,26,24,Rain Shower,1.01
17/12/2020,Gia Lai,26,23,Rain Shower,1.16
18/12/2020,Gia Lai,25,23,Rain Shower,1.47
18/12/2020,Gia Lai,27,22,Rain Shower,2.03
20/12/2020,Gia Lai,23,21,Rain Shower,2.69
21/12/2020,Gia Lai,22,20,Rain Shower,2.94
22/12/2020,Gia Lai,24,21,Rain Shower,3.09
23/12/2020,Gia Lai,25,22,Rain Shower,4.16
24/12/2020,Gia Lai,26,23,Rain Shower,4.24
25/12/2020,Gia Lai,26,23,Rain Shower,4.44
26/12/2020,Gia Lai,27,23,Rain Shower,4.44
27/12/2020,Gia Lai,27,23,Rain Shower,4.44
28/12/2020,Gia Lai,26,22,Rain Shower,4.44
29/12/2020,Gia Lai,28,21,Rain Shower,4.44
30/12/2020,Gia Lai,26,22,Rain Shower,4.44
31/12/2020,Gia Lai,24,22,Rain Shower,4.49
01/11/2020,Gia Lai,28,25,Mostly Cloudy,0.0
02/11/2020,Gia Lai,29,25,Mostly Cloudy,0.15
