province,province_code,district,district_code,ward,ward_code
Đắk Lắk,66,Buôn Đôn,647,Cuôr KNia,24247
Đắk Lắk,66,Buôn Đôn,647,Ea Bar,24250
Đắk Lắk,66,Buôn Đôn,647,Ea Huar,24238
Đắk Lắk,66,Buôn Đôn,647,Ea Nuôl,24253
Đắk Lắk,66,Buôn Đôn,647,Ea Wer,24241
Đắk Lắk,66,Buôn Đôn,647,Krông Na,24235
Đắk Lắk,66,Buôn Đôn,647,Tân Hoà,24244
Đắk Lắk,66,Buôn Ma Thuột,643,Cư ÊBur,24160
Đắk Lắk,66,Buôn Ma Thuột,643,Ea Kao,24169
Đắk Lắk,66,Buôn Ma Thuột,643,Ea Tu,24163
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Khánh,24175
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Phú,24172
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Thắng,24166
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Thuận,24157
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Xuân,24178
Đắk Lắk,66,Buôn Ma Thuột,643,P. Ea Tam,24151
Đắk Lắk,66,Buôn Ma Thuột,643,P. Khánh Xuân,24154
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân An,24124
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Hòa,24121
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Lập,24118
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Lợi,24136
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Thành,24142
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Tiến,24145
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thắng Lợi,24133
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thành Công,24139
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thành Nhất,24130
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thống Nhất,24127
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tự An,24148
Đắk Lắk,66,Cư Kuin,657,Cư Ê Wi,24541
Đắk Lắk,66,Cư Kuin,657,Dray Bhăng,24561
Đắk Lắk,66,Cư Kuin,657,Ea BHốk,24550
Đắk Lắk,66,Cư Kuin,657,Ea Hu,24553
Đắk Lắk,66,Cư Kuin,657,Ea Ktur,24544
Đắk Lắk,66,Cư Kuin,657,Ea Ning,24540
Đắk Lắk,66,Cư Kuin,657,Ea Tiêu,24547
Đắk Lắk,66,Cư Kuin,657,Hòa Hiệp,24562
Đắk Lắk,66,Cư M'Gar,648,Cư Dliê M'nông,24271
Đắk Lắk,66,Cư M'Gar,648,Cư M'gar,24289
Đắk Lắk,66,Cư M'Gar,648,Cuor Đăng,24301
Đắk Lắk,66,Cư M'Gar,648,Cư Suê,24298
Đắk Lắk,66,Cư M'Gar,648,Ea D'Rơng,24292
Đắk Lắk,66,Cư M'Gar,648,Ea H'đinh,24274
Đắk Lắk,66,Cư M'Gar,648,Ea Kiết,24265
Đắk Lắk,66,Cư M'Gar,648,Ea KPam,24280
Đắk Lắk,66,Cư M'Gar,648,Ea Kuêh,24264
Đắk Lắk,66,Cư M'Gar,648,Ea M'DRóh,24283
Đắk Lắk,66,Cư M'Gar,648,Ea M'nang,24295
Đắk Lắk,66,Cư M'Gar,648,Ea Tar,24268
Đắk Lắk,66,Cư M'Gar,648,Ea Tul,24277
Đắk Lắk,66,Cư M'Gar,648,Quảng Hiệp,24286
Đắk Lắk,66,Cư M'Gar,648,Quảng Tiến,24262
Đắk Lắk,66,Cư M'Gar,648,TT. Ea Pốk,24256
Đắk Lắk,66,Cư M'Gar,648,TT. Quảng Phú,24259
Đắk Lắk,66,Ea H'Leo,645,Cư A Mung,24194
Đắk Lắk,66,Ea H'Leo,645,Cư Mốt,24196
Đắk Lắk,66,Ea H'Leo,645,Dlêi Yang,24205
Đắk Lắk,66,Ea H'Leo,645,Ea Hiao,24199
Đắk Lắk,66,Ea H'Leo,645,Ea H'leo,24184
Đắk Lắk,66,Ea H'Leo,645,Ea Khal,24202
Đắk Lắk,66,Ea H'Leo,645,Ea Nam,24208
Đắk Lắk,66,Ea H'Leo,645,Ea Ral,24190
Đắk Lắk,66,Ea H'Leo,645,Ea Sol,24187
Đắk Lắk,66,Ea H'Leo,645,Ea Tir,24207
Đắk Lắk,66,Ea H'Leo,645,Ea Wy,24193
Đắk Lắk,66,Ea H'Leo,645,TT. Ea Drăng,24181
Đắk Lắk,66,Ea Kar,651,Cư Bông,24406
Đắk Lắk,66,Ea Kar,651,Cư ELang,24404
Đắk Lắk,66,Ea Kar,651,Cư Huê,24385
Đắk Lắk,66,Ea Kar,651,Cư Jang,24409
Đắk Lắk,66,Ea Kar,651,Cư Ni,24397
Đắk Lắk,66,Ea Kar,651,Cư Prông,24401
Đắk Lắk,66,Ea Kar,651,Ea Đar,24391
Đắk Lắk,66,Ea Kar,651,Ea Kmút,24394
Đắk Lắk,66,Ea Kar,651,Ea Ô,24403
Đắk Lắk,66,Ea Kar,651,Ea Păl,24400
Đắk Lắk,66,Ea Kar,651,Ea Sar,24380
Đắk Lắk,66,Ea Kar,651,Ea Sô,24379
Đắk Lắk,66,Ea Kar,651,Ea Tih,24388
Đắk Lắk,66,Ea Kar,651,TT. Ea Kar,24373
Đắk Lắk,66,Ea Kar,651,TT. Ea Knốp,24376
