province,province_code,district,district_code,ward,ward_code,address,long,lat
Đắk Lắk,66,Buôn Đôn,647,Cuôr KNia,24247,"Đắk Lắk,Buôn Đôn,Cuôr KNia",107.973221934776,12.7891192965572
Đắk Lắk,66,Buôn Đôn,647,Ea Bar,24250,"Đắk Lắk,Buôn Đôn,Ea Bar",107.99370821785801,12.760452461596598
Đắk Lắk,66,Buôn Đôn,647,Ea Huar,24238,"Đắk Lắk,Buôn Đôn,Ea Huar",107.871736978161,12.883649357792699
Đắk Lắk,66,Buôn Đôn,647,Ea Nuôl,24253,"Đắk Lắk,Buôn Đôn,Ea Nuôl",107.942020767569,12.717650644738601
Đắk Lắk,66,Buôn Đôn,647,Ea Wer,24241,"Đắk Lắk,Buôn Đôn,Ea Wer",107.873618044191,12.836468622305699
Đắk Lắk,66,Buôn Đôn,647,Krông Na,24235,"Đắk Lắk,Buôn Đôn,Krông Na",107.679203773813,12.930764164491599
Đắk Lắk,66,Buôn Đôn,647,Tân Hoà,24244,"Đắk Lắk,Buôn Đôn,Tân Hoà",107.907164013045,12.781397976078901
Đắk Lắk,66,Buôn Ma Thuột,643,Cư ÊBur,24160,"Đắk Lắk,Buôn Ma Thuột,Cư ÊBur",108.01448368580601,12.717872365471
Đắk Lắk,66,Buôn Ma Thuột,643,Ea Kao,24169,"Đắk Lắk,Buôn Ma Thuột,Ea Kao",108.051511298238,12.5995544002441
Đắk Lắk,66,Buôn Ma Thuột,643,Ea Tu,24163,"Đắk Lắk,Buôn Ma Thuột,Ea Tu",108.11184440792,12.7141336115412
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Khánh,24175,"Đắk Lắk,Buôn Ma Thuột,Hòa Khánh",107.99878520032499,12.5990854451019
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Phú,24172,"Đắk Lắk,Buôn Ma Thuột,Hòa Phú",107.935251982097,12.6080089820893
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Thắng,24166,"Đắk Lắk,Buôn Ma Thuột,Hòa Thắng",108.10420606708999,12.657650144098001
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Xuân,24178,"Đắk Lắk,Buôn Ma Thuột,Hòa Xuân",107.949144058479,12.657566967330801
Đắk Lắk,66,Buôn Ma Thuột,643,P. Khánh Xuân,24154,"Đắk Lắk,Buôn Ma Thuột,P. Khánh Xuân",107.995341647351,12.6442077599046
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân An,24124,"Đắk Lắk,Buôn Ma Thuột,P. Tân An",108.07947392112601,12.7150970442995
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Hòa,24121,"Đắk Lắk,Buôn Ma Thuột,P. Tân Hòa",108.099063970315,12.685778431967199
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Lập,24118,"Đắk Lắk,Buôn Ma Thuột,P. Tân Lập",108.072250380664,12.676722203784498
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Lợi,24136,"Đắk Lắk,Buôn Ma Thuột,P. Tân Lợi",108.059689083336,12.7192106360058
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Thành,24142,"Đắk Lắk,Buôn Ma Thuột,P. Tân Thành",108.02133225682199,12.6666648178403
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Tiến,24145,"Đắk Lắk,Buôn Ma Thuột,P. Tân Tiến",108.02847347378,12.676136439667498
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thành Công,24139,"Đắk Lắk,Buôn Ma Thuột,P. Thành Công",108.03639861517799,12.687491559876198
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thành Nhất,24130,"Đắk Lắk,Buôn Ma Thuột,P. Thành Nhất",108.002783384284,12.6816762199889
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thống Nhất,24127,"Đắk Lắk,Buôn Ma Thuột,P. Thống Nhất",108.03843020357901,12.682309864145902
Đắk Lắk,66,Cư Kuin,657,Cư Ê Wi,24541,"Đắk Lắk,Cư Kuin,Cư Ê Wi",108.254852172544,12.6173743470546
Đắk Lắk,66,Cư Kuin,657,Dray Bhăng,24561,"Đắk Lắk,Cư Kuin,Dray Bhăng",108.13184155452299,12.552816904904699
Đắk Lắk,66,Cư Kuin,657,Ea BHốk,24550,"Đắk Lắk,Cư Kuin,Ea BHốk",108.188104221987,12.570760060112299
Đắk Lắk,66,Cư Kuin,657,Ea Hu,24553,"Đắk Lắk,Cư Kuin,Ea Hu",108.242061169639,12.5741214633218
Đắk Lắk,66,Cư Kuin,657,Ea Ktur,24544,"Đắk Lắk,Cư Kuin,Ea Ktur",108.159034980218,12.633368173132201
Đắk Lắk,66,Cư Kuin,657,Ea Ning,24540,"Đắk Lắk,Cư Kuin,Ea Ning",108.20592004301001,12.616943336527902
Đắk Lắk,66,Cư Kuin,657,Ea Tiêu,24547,"Đắk Lắk,Cư Kuin,Ea Tiêu",108.10439844497401,12.602102554970699
