province,province_code,district,district_code,ward,ward_code,weather_query
Đắk Lắk,66,Buôn Đôn,647,Cuôr KNia,24247,https://www.google.com/search?q=weather+Cuôr+KNia+Đắk+Lắk
Đắk Lắk,66,Buôn Đôn,647,Ea Bar,24250,https://www.google.com/search?q=weather+Ea+Bar+Đắk+Lắk
Đắk Lắk,66,Buôn Đôn,647,Ea Huar,24238,https://www.google.com/search?q=weather+Ea+Huar+Đắk+Lắk
Đắk Lắk,66,Buôn Đôn,647,Ea Nuôl,24253,https://www.google.com/search?q=weather+Ea+Nuôl+Đắk+Lắk
Đắk Lắk,66,Buôn Đôn,647,Ea Wer,24241,https://www.google.com/search?q=weather+Ea+Wer+Đắk+Lắk
Đắk Lắk,66,Buôn Đôn,647,Krông Na,24235,https://www.google.com/search?q=weather+Krông+Na+Đắk+Lắk
Đắk Lắk,66,Buôn Đôn,647,Tân Hoà,24244,https://www.google.com/search?q=weather+Tân+Hoà+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,Cư ÊBur,24160,https://www.google.com/search?q=weather+Cư+ÊBur+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,Ea Kao,24169,https://www.google.com/search?q=weather+Ea+Kao+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,Ea Tu,24163,https://www.google.com/search?q=weather+Ea+Tu+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Khánh,24175,https://www.google.com/search?q=weather+Hòa+Khánh+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Phú,24172,https://www.google.com/search?q=weather+Hòa+Phú+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Thắng,24166,https://www.google.com/search?q=weather+Hòa+Thắng+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Thuận,24157,https://www.google.com/search?q=weather+Hòa+Thuận+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Xuân,24178,https://www.google.com/search?q=weather+Hòa+Xuân+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Ea Tam,24151,https://www.google.com/search?q=weather+P.+Ea+Tam+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Khánh Xuân,24154,https://www.google.com/search?q=weather+P.+Khánh+Xuân+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân An,24124,https://www.google.com/search?q=weather+P.+Tân+An+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Hòa,24121,https://www.google.com/search?q=weather+P.+Tân+Hòa+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Lập,24118,https://www.google.com/search?q=weather+P.+Tân+Lập+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Lợi,24136,https://www.google.com/search?q=weather+P.+Tân+Lợi+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Thành,24142,https://www.google.com/search?q=weather+P.+Tân+Thành+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Tiến,24145,https://www.google.com/search?q=weather+P.+Tân+Tiến+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thắng Lợi,24133,https://www.google.com/search?q=weather+P.+Thắng+Lợi+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thành Công,24139,https://www.google.com/search?q=weather+P.+Thành+Công+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thành Nhất,24130,https://www.google.com/search?q=weather+P.+Thành+Nhất+Đắk+Lắk
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thống Nhất,24127,https://www.google.com/search?q=weather+P.+Thống+Nhất+Đắk+Lắk
