ibm_title,ward,district,province,long,lat
Hòa Phú,Hòa Phú,Chư Păh,Gia Lai,107.97,14.16
Ia Khươl,Ia Khươl,Chư Păh,Gia Lai,108.01,14.21
Đăk Tơ Ver,Đăk Tơ Ver,Chư Păh,Gia Lai,108.08,14.2
Ia Mơ Nông,Ia Mơ Nông,Chư Păh,Gia Lai,107.82,14.17
Ia Ka,Ia Ka,Chư Păh,Gia Lai,107.82,14.13
Chư Jôr,Chư Jôr,Chư Păh,Gia Lai,108.03,14.1
Ia Nhin,Ia Nhin,Chư Păh,Gia Lai,107.87,14.11
Hà Tây,Hà Tây,Chư Păh,Gia Lai,108.14,14.29
Nghĩa Hòa,Nghĩa Hòa,Chư Păh,Gia Lai,107.92,14.11
Nghĩa Hưng,Nghĩa Hưng,Chư Păh,Gia Lai,107.99,14.08
Phú Hòa,TT. Phú Hòa,Chư Păh,Gia Lai,107.97,14.11
Chư Đăng Ya,Chư Đăng Ya,Chư Păh,Gia Lai,108.05,14.13
Bình Giáo,Bình Giáo,Chư Prông,Gia Lai,107.85,13.83
Ia Băng,Ia Băng,Chư Prông,Gia Lai,107.99,13.81
Ia Ly,TT. Ia Ly,Chư Păh,Gia Lai,107.85,14.23
Ia Bang,Ia Bang,Chư Prông,Gia Lai,107.98,13.71
Ia Drăng,Ia Drang,Chư Prông,Gia Lai,107.85,13.77
Thăng Hưng,Bàu Cạn,Chư Prông,Gia Lai,107.92,13.85
Ia Phí,Ia Phí,Chư Păh,Gia Lai,107.91,14.22
Ia Ga,Ia Ga,Chư Prông,Gia Lai,107.85,13.57
Ia Boòng,Ia Boòng,Chư Prông,Gia Lai,107.82,13.69
Ia Me,Ia Me,Chư Prông,Gia Lai,107.86,13.66
Ia Lâu,Ia Lâu,Chư Prông,Gia Lai,107.88,13.49
Ia Phìn,Ia Phìn,Chư Prông,Gia Lai,107.94,13.8
Ia Kly,Ia Kly,Chư Prông,Gia Lai,107.92,13.74
Ia Piơr,Ia Piơr,Chư Prông,Gia Lai,107.86,13.42
Ia Kreng,Ia Kreng,Chư Păh,Gia Lai,107.73,14.17
Ia Púch,Ia Púch,Chư Prông,Gia Lai,107.69,13.62
