,ward,right-ward,province
11,TT. Phú Hòa,Phú Hòa, Gia Lai
13,TT. Ia Ly,Ia Ly, Gia Lai
17,Bàu Cạn,Thăng Hưng, Gia Lai
19,Ia Drang,Ia Drăng, Gia Lai
34,TT. Chư Prông,Chư Prông, Gia Lai
41,TT. Nhơn Hòa,Nhơn Hoà, Gia Lai
44,Ayun,AYun, Gia Lai
52,Ia Hlốp,Ia HLốp, Gia Lai
55,HBông,H Bông, Gia Lai
57,TT. Chư Sê,Chư Sê, Gia Lai
59,Đăk Sơ Mei,Đăk Sơmei, Gia Lai
66,HNol,Hnol, Gia Lai
68,KDang,K' Dang, Gia Lai
71,HNeng,H'Neng, Gia Lai
75,TT. Đăk Đoa,Đăk Đoa, Gia Lai
82,TT. Đak Pơ,Đak Pơ, Gia Lai
83,Yang Băc,Yang Bắc, Gia Lai
92,TT. Chư Ty,Chư Ty, Gia Lai
100,Ia Krăi,Ia KRai, Gia Lai
101,TT. Ia Kha,Ia Kha, Gia Lai
107,Ia Kdăm,Ia KDăm, Gia Lai
113,Ia Mrơn,Ia Ma Rơn, Gia Lai
116,Đăk Smar,Đak SMar, Gia Lai
117,Kông Bla,Kông Pla, Gia Lai
119,Krong,KRong, Gia Lai
121,Đăk Rong,Đăk Roong, Gia Lai
127,TT. KBang,Kbang, Gia Lai
134,Đăk PLing,Đăk Pling, Gia Lai
137,Đăk Kơ Ning,Đắk Kơ Ning, Gia Lai
146,Ia Mlah,Ia Mláh, Gia Lai
147,TT. Kông Chro,Kông Chro, Gia Lai
149,Ia Hdreh,Ia HDreh, Gia Lai
151,Ia Rsai,Ia RSai, Gia Lai
152,Ya ma,Ya Ma, Gia Lai
153,Phú Cần,Phú Túc, Gia Lai
154,Ia Rsươm,Ia RSươm, Gia Lai
155,TT. Phú Túc,Phú Túc, Gia Lai
160,Đăk Jơ Ta,Đak Jơ Ta, Gia Lai
162,Đăk Ta Ley,Đak Ta Ley, Gia Lai
164,Hra,Hà Ra, Gia Lai
170,TT. Kon Dơng,Kon Dơng, Gia Lai
176,Ia Piar,Hershey, NE Weather Forecast and Conditions - The Weather Channel | Weather.com
177,Ia Sol,Phú Thiện, Gia Lai
180,TT. Phú Thiện,Phú Thiện, Gia Lai
182,Chư Hdrông,Chư HDrông, Gia Lai
184,P. Ia Kring,Ia Kring, Gia Lai
186,P. Thắng Lợi,Thắng Lợi, Gia Lai
187,P. Phù Đổng,Phù Đổng, Gia Lai
188,P. Hội Phú,Ia Kring, Gia Lai
189,P. Thống Nhất,Thống Nhất, Gia Lai
190,P. Yên Đỗ,Yên Đỗ, Gia Lai
192,P. Ngô Mây,Ngô Mây, Gia Lai
194,P. An Phú,An Phú, Gia Lai
195,P. An Tân,An Tân, Gia Lai
196,P. An Phước,An Phước, Gia Lai
197,P. An Bình,An Bình, Gia Lai
198,P. Tây Sơn,Tây Sơn, Gia Lai
202,Tú An,Xuân An, Gia Lai
205,Ia Rtô,Ia RTô, Gia Lai
206,P. Sông Bờ,Sông Bờ, Gia Lai
208,P. Hoà Bình,Hòa Bình, Gia Lai
209,Cuôr KNia,Cuôr Knia, Đắk Lắk
210,P. Đoàn Kết,Cheo Reo, Gia Lai
223,P. Khánh Xuân,Khánh Xuân, Đắk Lắk
224,P. Tân An,Tân An, Đắk Lắk
225,P. Tân Hòa,Tân Hòa, Đắk Lắk
227,P. Tân Thành,Tân Thành, Đắk Lắk
228,P. Tân Lợi,Tân Lợi, Đắk Lắk
229,P. Tân Tiến,Tân Tiến, Đắk Lắk
230,P. Tân Lập,Tân Lập, Đắk Lắk
231,P. Thành Nhất,Thành Nhất, Đắk Lắk
232,P. Thống Nhất,Tân Tiến, Đắk Lắk
233,P. Thành Công,Thành Công, Đắk Lắk
236,Ea BHốk,Ea Bhốk, Đắk Lắk
242,Cư M'gar,Cư M'Gar, Đắk Lắk
254,Quảng Tiến,Quảng Phú, Đắk Lắk
257,TT. Ea Pốk,Ea Pốk, Đắk Lắk
