,0,1,2,3,4,5
0,STT,Mã môn học,Tên môn học chuyên ngành,TC,LT,TH
1,1.,CS217,Các hệ cơ sở tri thức,4,3,1
2,2.,CS214,Biểu diễn tri thức và suy luận,4,3,1
3,3.,CS211,Trí tuệ nhân tạo nâng cao,4,3,1
4,4.,CS312,Hệ thống đa tác tử,4,3,1
5,5.,CS313,Khai thác dữ liệu và ứng dụng,4,3,1
6,6.,CS314,Lập trình symbolic trong trí tuệ nhân tạo,4,3,1
7,7.,CS315,Máy học nâng cao,4,3,1
8,8.,CS316,Các hệ giải bài toán thông minh,4,3,1
9,9.,CS106,Trí tuệ nhân tạo,4,3,1
10,10.,CS114,Máy học,4,3,1
11,11.,CS221,Xử lý ngôn ngữ tự nhiên,4,3,1
12,12.,CS229,Ngữ nghĩa học tính toán,4,3,1
13,13.,CS226,Ngôn ngữ học máy tính,4,4,0
14,14.,CS222,Xử lý ngôn ngữ tự nhiên nâng cao,4,3,1
15,15.,CS323,Các hệ thống hỏi-đáp,4,3,1
16,16.,CS324,Máy học trong xử lý ngôn ngữ tự nhiên,4,3,1
17,17.,CS321,Ngôn ngữ học ngữ liệu,4,3,1
18,18.,CS325,Dịch máy,4,3,1
19,19.,CS231,Nhập môn Thị giác máy tính,4,3,1
20,20.,CS105,Đồ họa máy tính,4,3,1
21,21.,CS331,Thị giác máy tính nâng cao,4,3,1
22,22.,CS532,Thị giác máy tính trong tương tác người – máy,4,3,1
23,23.,CS338,Nhận dạng,4,3,1
24,24.,CS333,Đồ họa game,3,2,1
25,25.,CS336,Truy vấn thông tin đa phương tiện,4,3,1
26,26.,CS337,Xử lý âm thanh và tiếng nói,4,3,1
27,27.,CS535,Tổng hợp tiếng nói,4,3,1
28,28.,CS232,Tính toán Đa phương tiện,4,3,1
29,Và các môn học khác theo đề nghị của Khoa,Và các môn học khác theo đề nghị của Khoa,Và các môn học khác theo đề nghị của Khoa,Và các môn học khác theo đề nghị của Khoa,Và các môn học khác theo đề nghị của Khoa,Và các môn học khác theo đề nghị của Khoa
