,article_link,headline,posted_at,is_sarcastic
0,https://www.newyorker.com/sports/sporting-scene/an-ode-to-the-no-hitter,An Ode to the No-Hitter,08/06/2021,1
1,https://www.newyorker.com/sports/sporting-scene/the-ridiculous-not-so-ridiculous-spectacle-of-floyd-mayweather-vs-logan-paul,"The Ridiculous, Not-So-Ridiculous Spectacle of Floyd Mayweather vs. Logan Paul",05/06/2021,1
2,https://www.newyorker.com/sports/sporting-scene/what-if-pro-sports-leagues-were-controlled-by-their-players,What if Pro Sports Leagues Were Controlled by Their Players?,03/06/2021,1
3,https://www.newyorker.com/culture/dept-of-returns/knicks-fans-are-together-again-for-better-and-worse,"Knicks Fans Are Together Again, for Better and Worse",02/06/2021,1
4,https://www.newyorker.com/sports/sporting-scene/naomi-osaka-takes-a-complicated-stand,Naomi Osaka Takes a Complicated Stand,01/06/2021,1
5,https://www.newyorker.com/sports/sporting-scene/the-french-open-returns-with-hope-for-tenniss-next-great-rivalry,"The French Open Returns, with Hope for Tennis’s Next Great Rivalry",30/05/2021,1
6,https://www.newyorker.com/news/news-desk/how-hacking-became-a-professional-service-in-russia,How Hacking Became a Professional Service in Russia,23/05/2021,1
7,https://www.newyorker.com/sports/sporting-scene/steph-currys-desperately-brilliant-season-comes-to-an-end,Steph Curry’s Desperately Brilliant Season Comes to an End,22/05/2021,1
8,https://www.newyorker.com/news/news-desk/no-safe-place-in-gaza,No Safe Place in Gaza,17/05/2021,1
9,https://www.newyorker.com/sports/sporting-scene/the-pleasures-of-learnedleague-and-the-spirit-of-trivia,The Pleasures of LearnedLeague and the Spirit of Trivia,17/05/2021,1
10,https://www.newyorker.com/news/news-desk/how-a-sexual-harassment-suit-may-test-the-reach-of-metoo-in-china,How a Sexual-Harassment Suit May Test the Reach of #MeToo in China,12/05/2021,1
11,https://www.newyorker.com/news/news-desk/the-new-yorker-receives-fourteen-national-magazine-award-nominations,The New Yorker Receives Fourteen National Magazine Award Nominations,08/05/2021,1
12,https://www.newyorker.com/news/news-desk/the-secret-papers-of-lee-atwater-who-invented-the-scurrilous-tactics-that-trump-normalized,"The Secret Papers of Lee Atwater, Who Invented the Scurrilous Tactics That Trump Normalized",06/05/2021,1
13,https://www.newyorker.com/news/news-desk/surviving-the-crackdown-in-xinjiang-in-mandarin,"Surviving the Crackdown in Xinjiang, in Mandarin",01/05/2021,1
14,https://www.newyorker.com/news/news-desk/watch-highlights-from-how-memes-become-money,Watch Highlights from “How Memes Become Money”,01/05/2021,1
15,https://www.newyorker.com/sports/sporting-scene/the-transformation-of-a-soccer-club-and-the-ways-we-value-womens-sports,"The Transformation of a Soccer Club, and the Ways We Value Women’s Sports",30/04/2021,1
16,https://www.newyorker.com/news/news-desk/the-secret-footage-of-nra-chief-wayne-lapierres-botched-elephant-hunt,The Secret Footage of the N.R.A. Chief’s Botched Elephant Hunt,27/04/2021,1
17,https://www.newyorker.com/sports/sporting-scene/the-audacity-and-greed-of-the-super-league,The Audacity and Greed of the Super League,21/04/2021,1
18,https://www.newyorker.com/news/news-desk/the-union-battle-at-amazon-is-far-from-over,The Union Battle at Amazon Is Far from Over,13/04/2021,1
19,https://www.newyorker.com/news/news-desk/the-moms-who-are-battling-climate-change,The Moms Who Are Battling Climate Change,12/04/2021,1
20,https://www.newyorker.com/news/news-desk/mario-gonzalez-still-wants-to-know-why-the-police-held-him-after-the-atlanta-shooting,Mario González Still Wants to Know Why the Police Held Him After the Atlanta Shooting,29/03/2021,1
21,https://www.newyorker.com/news/news-desk/inside-the-koch-backed-effort-to-block-the-largest-election-reform-bill-in-half-a-century,Inside the Koch-Backed Effort to Block the Largest Election-Reform Bill in Half a Century,29/03/2021,1
22,https://www.newyorker.com/news/news-desk/cuomos-first-accuser-raises-new-claims-of-harassment-and-retaliation,Cuomo’s First Accuser Raises New Claims of Harassment and Retaliation,18/03/2021,1
23,https://www.newyorker.com/news/news-desk/the-story-of-the-comfort-women-in-korean-and-japanese,"The Story of the Comfort Women, in Korean and Japanese",13/03/2021,1
24,https://www.newyorker.com/science/annals-of-medicine/why-covid-19-vaccines-arent-yet-available-to-everyone,Why COVID-19 Vaccines Aren’t Yet Available to Everyone,13/03/2021,1
25,https://www.newyorker.com/news/news-desk/the-new-yorkers-luke-mogelson-wins-a-george-polk-award,The New Yorker’s Luke Mogelson Wins a George Polk Award,24/02/2021,1
26,https://www.newyorker.com/sports/sporting-scene/naomi-osaka-the-most-thrilling-athlete-of-her-generation-wins-the-australian-open,"Naomi Osaka, the Most Thrilling Athlete of Her Generation, Wins the Australian Open",20/02/2021,1
27,https://www.newyorker.com/news/news-desk/haitians-are-at-an-impasse-over-the-countrys-future,Haitians Are at an Impasse Over the Country’s Future,19/02/2021,1
28,https://www.newyorker.com/news/news-desk/after-dark-citizens-and-myanmars-junta-face-off-across-ghostly-front-lines,"After Dark, Citizens and Myanmar’s Junta Face Off Across Ghostly Front Lines",19/02/2021,1
29,https://www.newyorker.com/sports/sporting-scene/naomi-osakas-win-against-serena-williams-felt-like-a-passing-of-the-torch,Naomi Osaka’s Win Against Serena Williams Felt Like a Passing of the Torch,18/02/2021,1
30,https://www.newyorker.com/news/news-desk/can-biden-reverse-trumps-lasting-damage-in-latin-america,Can Biden Reverse Trump’s Damage to Latin America?,11/02/2021,1
31,https://www.newyorker.com/sports/sporting-scene/the-russian-tennis-player-who-kept-winning-while-no-one-was-watching,The Russian Tennis Player Who Kept Winning While No One Was Watching,10/02/2021,1
32,https://www.newyorker.com/sports/sporting-scene/the-story-on-sunday-was-tom-brady-but-the-super-bowl-was-won-with-defense,"The Story on Sunday Was Tom Brady, but the Super Bowl Was Won with Defense",08/02/2021,1
33,https://www.newyorker.com/sports/sporting-scene/can-a-country-control-the-virus-and-host-a-grand-slam-australia-is-trying,Can a Country Control the Virus and Host a Grand Slam? Australia Is Trying,07/02/2021,1
34,https://www.newyorker.com/news/news-desk/a-pennsylvania-mothers-path-to-insurrection-capitol-riot,A Pennsylvania Mother’s Path to Insurrection,01/02/2021,1
35,https://www.newyorker.com/news/news-desk/the-takedown-of-a-dark-web-marketplace,The Takedown of a Dark-Web Marketplace,23/01/2021,1
36,https://www.newyorker.com/news/our-local-correspondents/andrew-yangs-ideas-on-universal-basic-income-earned-him-fans-but-can-he-win-votes,Andrew Yang’s Ideas on Universal Basic Income Earned Him Fans. But Can He Win Votes?,23/01/2021,1
37,https://www.newyorker.com/sports/sporting-scene/the-brooklyn-nets-are-an-experiment-within-an-experiment,The Brooklyn Nets Are an Experiment Within an Experiment,16/01/2021,1
38,https://www.newyorker.com/news/news-desk/a-former-marine-stormed-the-capitol-as-part-of-a-far-right-militia,A Former Marine Stormed the Capitol as Part of a Far-Right Militia,14/01/2021,1
39,https://www.newyorker.com/news/news-desk/omar-ameens-cell-phone-records-reveal-that-he-was-framed,Omar Ameen’s Cell-Phone Records Reveal That He Was Framed,13/01/2021,1
40,https://www.newyorker.com/news/news-desk/an-air-force-combat-veteran-breached-the-senate,An Air Force Combat Veteran Breached the Senate,08/01/2021,1
41,https://www.newyorker.com/news/news-desk/inside-the-us-armys-warehouse-full-of-nazi-art,Inside the U.S. Army’s Warehouse Full of Nazi Art,04/01/2021,1
42,https://www.newyorker.com/news/campaign-chronicles/can-boosting-child-and-elder-care-help-democrats-win-control-of-the-senate,Can Boosting Child and Elder Care Help Democrats Win Control of the Senate?,03/01/2021,1
43,https://www.newyorker.com/news/news-desk/deconstructing-the-2020-latino-vote,Deconstructing the 2020 Latino Vote,31/12/2020,1
44,https://www.newyorker.com/culture/2020-in-review/the-year-of-the-cardboard-sports-fan,The Year of the Cardboard Sports Fan,22/12/2020,1
45,https://www.newyorker.com/news/news-desk/the-veterans-organizing-to-stop-trumpism,The Veterans Organizing to Stop Trumpism,18/12/2020,1
46,https://www.newyorker.com/news/news-desk/fighting-covid-19-in-the-amazon-with-herbs-and-the-internet,"Fighting COVID-19 in the Amazon, with Herbs and the Internet",11/12/2020,1
47,https://www.newyorker.com/news/news-desk/dianne-feinsteins-missteps-raise-a-painful-age-question-among-senate-democrats,Dianne Feinstein’s Missteps Raise a Painful Age Question Among Senate Democrats,09/12/2020,1
48,https://www.newyorker.com/sports/sporting-scene/mike-tyson-and-roy-jones-when-is-a-fight-not-a-fight,Mike Tyson and Roy Jones: When Is a Fight Not a Fight?,29/11/2020,1
49,https://www.newyorker.com/sports/sporting-scene/is-college-football-making-the-pandemic-worse,Is College Football Making the Pandemic Worse?,25/11/2020,1
50,https://www.newyorker.com/news/our-columnists/why-trump-carried-out-his-pentagon-purge,Why Trump Carried Out His Pentagon Purge,13/11/2020,1
51,https://www.newyorker.com/sports/sporting-scene/in-a-wild-world-series-clayton-kershaw-gets-to-write-another-chapter,"In a Wild World Series, Clayton Kershaw Gets to Write Another Chapter",25/10/2020,1
52,https://www.newyorker.com/sports/sporting-scene/will-steve-cohen-a-symbol-of-wall-street-malfeasance-own-the-new-york-mets,"Will Steve Cohen, a Symbol of Wall Street Malfeasance, Own the New York Mets?",25/10/2020,1
53,https://www.newyorker.com/news/news-desk/what-can-you-do-if-trump-stages-a-coup,What Can You Do If Trump Stages a Coup?,24/10/2020,1
54,https://www.newyorker.com/news/news-desk/can-latino-voters-tip-wisconsin-in-joe-bidens-favor,Can Latino Voters Tip Wisconsin in Biden’s Favor?,13/10/2020,1
55,https://www.newyorker.com/sports/sporting-scene/the-nba-bubble-was-another-sphere-for-lebron-james-to-conquer,The N.B.A. Bubble Was Another Sphere for LeBron James to Conquer,12/10/2020,1
56,https://www.newyorker.com/sports/sporting-scene/rafael-nadals-french-open-victory-over-novak-djokovic-extends-tenniss-best-rivalry,Rafael Nadal’s French Open Victory Over Novak Djokovic Extends Tennis’s Best Rivalry,11/10/2020,1
57,https://www.newyorker.com/sports/sporting-scene/pondering-anthony-davis-the-lakers-oddly-enigmatic-star,"Pondering Anthony Davis, the Lakers’ Oddly Enigmatic Star",07/10/2020,1
58,https://www.newyorker.com/news/news-desk/the-contested-afterlife-of-the-trump-alfa-bank-story,The Contested Afterlife of the Trump-Alfa Bank Story,07/10/2020,1
59,https://www.newyorker.com/news/news-desk/could-the-coronavirus-stop-amy-coney-barretts-supreme-court-confirmation,Could the Coronavirus Stop Amy Coney Barrett’s Supreme Court Confirmation?,05/10/2020,1
60,https://www.newyorker.com/news/news-desk/the-sackler-familys-plan-to-keep-its-billions,The Sackler Family’s Plan to Keep Its Billions,04/10/2020,1
61,https://www.newyorker.com/news/news-desk/donald-trump-tests-positive-for-the-coronavirus-and-a-nation-anticipates-chaos,"The President Tests Positive for the Coronavirus, and a Nation Anticipates Chaos",02/10/2020,1
62,https://www.newyorker.com/news/news-desk/the-secret-history-of-kimberly-guilfoyles-departure-from-fox,The Secret History of Kimberly Guilfoyle’s Departure from Fox,01/10/2020,1
63,https://www.newyorker.com/news/news-desk/the-november-surprise-of-chinas-coronavirus-vaccine,Chinese Citizens Are Already Receiving a Coronavirus Vaccine,29/09/2020,1
64,https://www.newyorker.com/sports/sporting-scene/jamal-murray-and-nikola-jokic-basketballs-best-buddy-comedy,"Jamal Murray and Nikola Jokic, Basketball’s Best Buddy Comedy",26/09/2020,1
65,https://www.newyorker.com/news/news-desk/the-fincen-files-shed-new-light-on-a-scandalous-episode-at-deutsche-bank,The FinCEN Files Shed New Light on a Scandalous Episode at Deutsche Bank,23/09/2020,1
66,https://www.newyorker.com/news/news-desk/watching-watchmen-as-a-descendant-of-the-tulsa-race-massacre,Watching “Watchmen” as a Descendant of the Tulsa Race Massacre,20/09/2020,1
67,https://www.newyorker.com/news/news-desk/for-mitch-mcconnell-keeping-his-senate-majority-matters-more-than-the-supreme-court,"For Mitch McConnell, Keeping His Senate Majority Matters More Than the Supreme Court",19/09/2020,1
68,https://www.newyorker.com/news/news-desk/bidens-case-to-latino-voters-comes-late-will-they-listen,Biden’s Case to Latino Voters Comes Late. Will They Listen?,16/09/2020,1
69,https://www.newyorker.com/sports/sporting-scene/without-fans-the-drama-of-the-us-open-came-from-within,"Without Fans, the Drama of the U.S. Open Came from Within",14/09/2020,1
70,https://www.newyorker.com/sports/sporting-scene/naomi-osaka-adjusts-and-wins-one-of-the-best-us-open-finals-in-years,"Naomi Osaka Adjusts, and Wins One of the Best U.S. Open Finals in Years",13/09/2020,1
71,https://www.newyorker.com/sports/sporting-scene/the-nfls-discordant-return,The N.F.L.’s Discordant Return,12/09/2020,1
72,https://www.newyorker.com/sports/sporting-scene/is-the-nba-still-lebron-james-league,Is the N.B.A. Still LeBron James’s League?,04/09/2020,1
73,https://www.newyorker.com/news/news-desk/the-inevitable-tragedy-of-a-summer-on-edge-in-portland,The Inevitable Tragedy of a Summer on Edge in Portland,01/09/2020,1
74,https://www.newyorker.com/sports/sporting-scene/how-to-watch-serena-williams-at-the-us-open-where-she-has-nothing-left-to-prove,"How to Watch Serena Williams at the U.S. Open, Where She Has Nothing Left to Prove",30/08/2020,1
75,https://www.newyorker.com/news/news-desk/investigations-provide-a-window-into-how-trump-does-business,Investigations Provide a Window Into How Trump Does Business,29/08/2020,1
76,https://www.newyorker.com/sports/sporting-scene/college-footballs-messy-bumpy-worrisome-return,"College Football’s Messy, Bumpy, Worrisome Return",29/08/2020,1
77,https://www.newyorker.com/sports/sporting-scene/the-exhilarating-jolt-of-the-milwaukee-bucks-wildcat-strike,The Exhilarating Jolt of the Milwaukee Bucks’ Wildcat Strike,27/08/2020,1
78,https://www.newyorker.com/sports/sporting-scene/the-innocence-and-experience-of-luka-doncic-and-james-harden,The Innocence and Experience of Luka Doncic and James Harden,26/08/2020,1
79,https://www.newyorker.com/news/news-desk/should-you-send-your-child-back-to-school-during-the-pandemic,Should You Send Your Child Back to School During the Pandemic?,26/08/2020,1
80,https://www.newyorker.com/news/news-desk/as-newsrooms-close-across-the-country-remembering-why-they-matter,"As Newsrooms Close Across the Country, Remembering Why They Matter",14/08/2020,1
81,https://www.newyorker.com/sports/sporting-scene/the-fractured-world-of-tennis-amid-a-prolonged-pandemic,The Fractured World of Tennis Amid a Prolonged Pandemic,13/08/2020,1
82,https://www.newyorker.com/news/news-desk/teachers-across-the-country-worry-about-a-rush-to-reopen-schools,Teachers Across the Country Worry About a Rush to Reopen Schools,10/08/2020,1
