,article_link,headline,posted_at,is_sarcastic
0,https://babylonbee.com/news/concerns-arise-over-jen-psakis-physical-health-after-stating-that-biden-is-hard-to-keep-up-with,Concerns Arise Over Jen Psaki's Physical Health After Her Statement That Biden Is 'Hard To Keep Up With',"June 5th, 2021",1
1,https://babylonbee.com/news/gavin-newsom-tries-to-woo-californians-back-by-disguising-state-as-texas,Gavin Newsom Tries To Woo Californians Back By Disguising State As Texas,"June 4th, 2021",1
2,https://babylonbee.com/news/guy-cleaning-out-his-car-pretty-sure-this-may-be-the-start-of-a-brand-new-life-for-him,Guy Cleaning Out His Car Pretty Sure This May Be The Start Of A Brand New Life For Him,"June 4th, 2021",1
3,https://babylonbee.com/news/nation-pauses-attentive-while-high-school-graduate-divulges-wisdom-derived-from-many-many-years-of-life-experience,"Nation Pauses, Attentive, While High School Graduate Divulges Wisdom Derived From Many, Many Years Of Life Experience","June 4th, 2021",1
4,https://babylonbee.com/news/op-ed-feminism-killed-innovation-because-men-now-have-to-spend-all-their-time-making-their-own-sandwiches,Op-Ed: Feminism Killed Innovation Because Men Now Have To Spend All Their Time Making Their Own Sandwiches,"June 4th, 2021",1
5,https://babylonbee.com/news/a-fetus-is-just-a-clump-of-cells-says-slightly-older-larger-clump-of-cells,"'A Fetus Is Just A Clump Of Cells,' Says Slightly Older, Larger Clump Of Cells","June 4th, 2021",1
6,https://babylonbee.com/news/breaking-biden-found-to-belong-to-organization-with-white-supremacist-roots,Bombshell Investigation Reveals Biden Belongs To Organization With White Supremacist Roots,"June 4th, 2021",1
7,https://babylonbee.com/news/gay-americans-starting-to-wish-straight-people-would-chill-out-about-pride-month,Gay Americans Starting To Wish Straight People Would Chill Out About Pride Month,"June 4th, 2021",1
8,https://babylonbee.com/news/lebron-i-am-boycotting-the-playoffs-in-the-name-of-social-justice,LeBron: 'Me And My Team Have Decided To Boycott The Playoffs In The Name Of Social Justice',"June 4th, 2021",1
9,https://babylonbee.com/news/john-the-baptist-not-invited-back-to-potluck-after-bringing-locust-casserole,John The Baptist Not Invited Back To Potluck After Bringing Locust And Honey Casserole,"June 3rd, 2021",1
10,https://babylonbee.com/news/trump-reveals-first-ten-things-he-plans-on-doing-when-hes-reinstated-as-president-in-august,Trump Reveals First 10 Items On His Agenda For When He's Reinstated As President In August,"June 3rd, 2021",1
11,https://babylonbee.com/news/pouting-lebron-james-unplugs-sega-genesis-while-losing-game-of-nba-jam,Pouting LeBron James Unplugs Sega Genesis While Losing Game Of NBA Jam,"June 3rd, 2021",1
12,https://babylonbee.com/news/aoc-now-claims-her-abuela-died-in-attack-on-capitol,AOC Claims Her Abuela Died In Attack On Capitol,"June 3rd, 2021",1
13,https://babylonbee.com/news/fauci-hires-expert-technician-hildo-clintmann-to-secure-his-email-server,Fauci Hires Expert Technician Hilgo Clintmann To Secure His Email Server,"June 3rd, 2021",1
14,https://babylonbee.com/news/china-denies-bird-flu-says-there-are-no-birds-in-china,"China Denies Reports Of Bird Flu, Says There Are No Birds In China","June 3rd, 2021",1
15,https://babylonbee.com/news/exclusive-the-babylon-bee-has-acquired-more-leaked-dr-fauci-emails,Exclusive: The Babylon Bee Has Acquired More Leaked Dr. Fauci Emails,"June 2nd, 2021",1
16,https://babylonbee.com/news/couple-has-baby-just-to-have-excuse-to-leave-social-functions-early,Couple Has Baby Just To Have Excuse For Getting Out Of Social Functions,"June 2nd, 2021",1
17,https://babylonbee.com/news/cdc-says-men-should-continue-to-mask-at-all-times-to-avoid-getting-man-colds-which-can-be-devastating,CDC Says Men Should Continue Wearing Masks To Avoid Catching Devastating Man-Colds,"June 2nd, 2021",1
18,https://babylonbee.com/news/nickelodeon-announces-new-show-that-teaches-communism-to-kids-reds-clues,"Nickelodeon Announces New Show That Teaches Communism To Kids, 'Red's Clues'","June 2nd, 2021",1
19,https://babylonbee.com/news/bars-on-kids-cages-to-be-painted-rainbow-colors-for-pride-month,Bars On Migrant Kids' Cages To Be Painted Rainbow Colors For Pride Month,"June 2nd, 2021",1
20,https://babylonbee.com/news/10-ways-to-survive-as-a-conservative-on-a-college-campus,9 Ways To Survive As A Non-Leftist On A College Campus,"June 2nd, 2021",1
21,https://babylonbee.com/news/in-honor-of-pride-month-here-are-the-babylon-bees-top-2-genders,"In Honor Of Pride Month, Here Are The Babylon Bee's Top 2 Genders","June 2nd, 2021",1
22,https://babylonbee.com/news/gov-desantis-signs-controversial-bill-declaring-the-sky-is-blue,Governor DeSantis Signs Controversial Bill Declaring The Sky Is Blue,"June 2nd, 2021",1
23,https://babylonbee.com/news/desantis-decides-to-allow-biological-men-to-compete-in-womens-sports-as-long-as-they-wear-high-heels,DeSantis Decides To Allow Biological Men To Compete In Women's Sports As Long As They Wear High Heels,"June 1st, 2021",1
24,https://babylonbee.com/news/i-dont-know-why-blm-isnt-more-popular-says-member-while-throwing-bricks-at-pedestrians,'Why Are We So Unpopular?' Says BLM Protester While Chucking Brick At Pedestrian,"June 1st, 2021",1
25,https://babylonbee.com/news/democrat-pilot-wants-to-crash-plane-at-high-speed-republican-co-pilot-recommends-crashing-at-lower-speed-instead,Democrat Pilot And Republican Co-Pilot Argue Over How Fast They Should Fly Plane Into Ground,"June 1st, 2021",1
26,https://babylonbee.com/news/10-books-every-truly-woke-parent-should-read-to-their-kids-at-bedtime,10 Books Every Woke Parent Should Read To Their Kids At Bedtime,"June 1st, 2021",1
27,https://babylonbee.com/news/first-ever-pride-month-ruined-by-40-days-of-rain,First-Ever Pride Month Ruined By 40 Days Of Rain,"June 1st, 2021",1
28,https://babylonbee.com/news/7-ways-gta-points-us-to-christ,7 Ways GTA Points Us To Christ,"June 1st, 2021",1
29,https://babylonbee.com/news/compromise-mayor-lightfoot-agrees-to-half-interview-with-half-black-journalist,Compromise: Mayor Lightfoot Agrees To Half-Interview With Half-Black Journalist,"June 1st, 2021",1
30,https://babylonbee.com/news/try-these-7-great-meat-substitutes,You Don't Need All That Grilled Meat: Try These 7 Great Meat Substitutes!,"May 31st, 2021",1
31,https://babylonbee.com/news/kamala-harris-visits-tomb-of-unknown-soldier-to-tell-him-to-enjoy-the-long-weekend,Kamala Harris Visits Tomb Of Unknown Soldier To Tell Him To Enjoy The Long Weekend,"May 31st, 2021",1
32,https://babylonbee.com/news/on-memorial-day-america-honors-fallen-soldier-aoc-for-her-service-on-january-6th,"On Memorial Day, America Honors Fallen Soldier AOC For Her Service On January 6th","May 31st, 2021",1
33,https://babylonbee.com/news/with-commission-voted-down-events-of-january-6th-to-forever-remain-a-mystery,"With Commission Voted Down, Events Of January 6th To Forever Remain A Mystery","May 29th, 2021",1
34,https://babylonbee.com/news/trump-begins-running-2024-campaign-ads-on-gas-station-pumps,Brilliant: Trump Begins Running 2024 Campaign Ads On Gas Pumps,"May 29th, 2021",1
35,https://babylonbee.com/news/biden-creates-onlyfans-account-to-share-exclusive-ice-cream-eating-pics-with-journalists,Biden Creates OnlyFans Account To Share Exclusive Ice Cream Eating Pics With Journalists,"May 28th, 2021",1
36,https://babylonbee.com/news/jan-6th-commission-canceled-after-everyone-agrees-trump-won-fair-and-square,Jan 6th Commission Canceled After Everyone Agrees Trump Won Election Fair And Square,"May 28th, 2021",1
37,https://babylonbee.com/news/conquered-american-working-in-chinese-slave-camp-in-year-2030-just-glad-us-military-was-inclusive,"'At Least Our Military Was Inclusive,' Says Conquered American Working In Chinese Prison Camp In Year 2025","May 28th, 2021",1
38,https://babylonbee.com/news/mcdonalds-drive-through-backs-up-for-miles-as-fauci-tries-to-make-up-his-mind,McDonald's Drive Thru Backs Up For Miles As Dr. Fauci Keeps Changing His Mind,"May 28th, 2021",1
39,https://babylonbee.com/news/reporters-marvel-as-biden-eats-a-microphone-after-mistaking-it-for-an-ice-cream-cone,Reporters Cheer As Biden Takes Huge Bite Out Of Microphone Mistaking It For Ice Cream,"May 28th, 2021",1
40,https://babylonbee.com/news/god-puts-rainbow-in-sky-promising-never-to-punish-the-earth-with-friends-reunion-again,God Puts Rainbow In Sky Promising Never To Punish The Earth With 'Friends' Reunion Again,"May 28th, 2021",1
41,https://babylonbee.com/news/newsom-announces-sweepstakes-where-5-lucky-winners-get-to-move-out-of-california,Newsom Announces Sweepstakes Where 5 Lucky Winners Get To Move Out Of California,"May 28th, 2021",1
42,https://babylonbee.com/news/republicans-counter-2-trillion-infrastructure-bill-with-fiscally-responsible-19-trillion-proposal,Republicans Counter $6 Trillion Budget Proposal With Fiscally Responsible $5.9 Trillion Budget Proposal,"May 28th, 2021",1
43,https://babylonbee.com/news/facebook-now-banning-anyone-who-says-virus-wasnt-developed-in-wuhan-lab,Facebook Now Banning Anyone Who Says Virus Wasn't Created In Wuhan Lab,"May 27th, 2021",1
44,https://babylonbee.com/news/defund-police-protest-canceled-after-someone-stole-all-their-signs,Defund Police Protest Canceled After Someone Steals All Their Signs,"May 27th, 2021",1
45,https://babylonbee.com/news/at-chinas-instruction-apple-removes-taiwan-from-maps,"At China's Instruction, Apple Removes Taiwan From Maps","May 27th, 2021",1
46,https://babylonbee.com/news/cnn-hires-trump-as-news-anchor-to-recover-lost-viewers,CNN Hires Trump As News Anchor To Recover Lost Viewers,"May 27th, 2021",1
47,https://babylonbee.com/news/man-has-nightmare-of-going-to-school-maskless,Man Wakes Up In Cold Sweat After Recurring Nightmare Of Going To School Maskless,"May 27th, 2021",1
48,https://babylonbee.com/news/wuhan-beginning-to-rethink-newly-installed-birthplace-of-covid-sign,Wuhan Beginning To Rethink Newly Installed Sign Reading 'Birthplace Of Covid',"May 27th, 2021",1
49,https://babylonbee.com/news/john-cena-to-undergo-controversial-spine-implant-surgery,John Cena To Undergo Experimental Spine Implant Surgery,"May 27th, 2021",1
50,https://babylonbee.com/news/calls-for-defund-the-police-wane-after-people-remember-crime-exists,Calls To Defund The Police Wane After People Remember Crime Exists,"May 27th, 2021",1
51,https://babylonbee.com/news/amazon-institutes-new-direction-for-bond-where-large-organization-that-tries-to-take-over-the-world-is-good-actually,New Amazon Bond Film Will Feature 007 Assassinating Small Business Owners,"May 26th, 2021",1
52,https://babylonbee.com/news/snopes-introduces-new-rating-false-for-now,Snopes Introduces New Rating: 'False For Now',"May 26th, 2021",1
53,https://babylonbee.com/news/aoc-added-to-iwo-jima-memorial-for-surviving-capitol-riot,AOC Added To Iwo Jima Memorial For Surviving Capitol Riot,"May 26th, 2021",1
54,https://babylonbee.com/news/dr-fauci-gets-in-intense-debate-with-dr-fauci-from-a-few-months-ago,Dr. Fauci Gets In Heated Debate With Seventeen Previous Versions Of Himself,"May 26th, 2021",1
55,https://babylonbee.com/news/taiwan-is-the-babylon-bees-country-of-the-year-2021,Taiwan Is The Babylon Bee's Country Of The Year 2021,"May 26th, 2021",1
56,https://babylonbee.com/news/7-ways-to-find-your-dream-christian-spouse-the-old-fashioned-way,7 Ways To Find Your Dream Christian Spouse The Old-Fashioned Way,"May 26th, 2021",1
57,https://babylonbee.com/news/army-introduces-new-gender-reveal-grenades-for-trans-soldiers,Army Introduces New Gender Reveal Grenades For Trans Soldiers,"May 26th, 2021",1
58,https://babylonbee.com/news/the-babylon-bee-would-like-to-apologize-to-xi-jinping-for-referring-to-him-as-president-and-not-a-stuffed-honey-loving-bear-who-lives-in-the-hundred-acre-wood,The Babylon Bee Would Like To Apologize To Xi Jinping For Referring To Him As 'President' And Not 'A Stuffed Honey-Loving Bear Who Lives In The Hundred Acre Wood',"May 26th, 2021",1
