,article_link,headline,posted_at,is_sarcastic
0,https://www.thepoke.co.uk/2021/06/04/the-governments-education-catch-up-tsar-quits-over-its-woeful-school-funding/,The government’s education catch-up tsar quits over its woeful school funding,04/06/2021,1
1,https://www.thepoke.co.uk/2021/06/03/donald-trump-deleted-blog-because-being-mocked/,Donald Trump deleted his blog because it was being mocked and you can probably guess what happened next,03/06/2021,1
2,https://www.thepoke.co.uk/2021/06/03/a14-covered-in-tomato-puree-after-crash/,A lorry crash left the A14 covered in tomato puree – 11 plum responses,03/06/2021,1
3,https://www.thepoke.co.uk/2021/06/02/carrie-johnson-first-lady-reactions/,The media calling Carrie Johnson “First Lady” has gone down as well as you’d expect,02/06/2021,1
4,https://www.thepoke.co.uk/2021/06/02/tim-martin-wants-looser-eu-immigration-rules/,Tim Martin wants looser EU immigration rules because he can’t find staff – 12 bitter takedowns,02/06/2021,1
5,https://www.thepoke.co.uk/2021/06/01/piers-morgan-ridiculed-naomi-osaka-backfired-spectacularly/,Piers Morgan’s attempt to ridicule Naomi Osaka backfired spectacularly,01/06/2021,1
6,https://www.thepoke.co.uk/2021/05/30/boris-johnson-carrie-symonds-secret-wedding-reactions/,"Boris Johnson and Carrie Symonds had a secret wedding and Twitter threw shade, not confetti",30/05/2021,1
7,https://www.thepoke.co.uk/2021/05/29/david-mitchell-hignfy-bbc-martin-bashir-everyone-applauding/,David Mitchell’s HIGNFY tirade on the BBC and Martin Bashir had everyone applauding,29/05/2021,1
8,https://www.thepoke.co.uk/2021/05/28/uk-trialling-self-driving-bus-funny-takedowns/,The UK is trialling a self-driving bus – 9 fare assessments,28/05/2021,1
9,https://www.thepoke.co.uk/2021/05/27/eric-carle-hungry-caterpillar-story/,Nigella Lawson shared this Eric Carle story from his Very Hungry Caterpillar and everyone’s with Eric,27/05/2021,1
10,https://www.thepoke.co.uk/2021/05/27/matt-hancock-busy-saving-lives-during-cummings-evidence/,Matt Hancock was ‘busy saving lives’ during the damning Cummings evidence – 11 sick burns,27/05/2021,1
11,https://www.thepoke.co.uk/2021/05/26/england-cricketers-have-been-trolling-runaway-matt-hancock-bowled-over/,England cricketers have been trolling runaway Matt Hancock and totally bowled us over,26/05/2021,1
12,https://www.thepoke.co.uk/2021/05/26/matt-hancock-was-mocked-for-running-away-from-reporters-13-burns/,Matt Hancock was mocked for running away from reporters – 13 runaway burns,26/05/2021,1
13,https://www.thepoke.co.uk/2021/05/24/dominic-cummings-pm-missed-cobra-meetings-to-write-a-shakespeare-book/,The PM may have missed COBRA meetings to write a Shakespeare biography to fund his divorce,24/05/2021,1
14,https://www.thepoke.co.uk/2021/05/21/krishnan-guru-murthy-martin-bashir/,People loved Krishnan Guru-Murthy’s unexpected take on the Martin Bashir scandal,21/05/2021,1
15,https://www.thepoke.co.uk/2021/05/21/great-british-railways-government-rail-overhaul/,People have been railing against the government’s plans for the trains – 13 first-class responses,21/05/2021,1
16,https://www.thepoke.co.uk/2021/05/20/matt-hancock-replacing-shield-of-restrictions-with-sword-of-vaccination/,12 legendary reactions to Matt Hancock replacing the ‘shield of restrictions’ with the ‘sword of vaccination’,20/05/2021,1
17,https://www.thepoke.co.uk/2021/05/19/bolton-woman-on-street-tells-reporter-she-wont-leave-house/,Watch this woman on the street tell a reporter she won’t leave her house,19/05/2021,1
18,https://www.thepoke.co.uk/2021/05/19/eric-trump-claims-crying-strangers-hug-him-because-they-miss-donald/,Eric Trump claims crying strangers hug him because they miss his dad – 5 stunning owns,19/05/2021,1
19,https://www.thepoke.co.uk/2021/05/18/people-whipped-into-frenzy-over-the-99-flake-shortage/,People are getting whipped into a frenzy over the 99 Flake shortage – 9 sweet responses,18/05/2021,1
20,https://www.thepoke.co.uk/2021/05/18/government-says-dont-travel-to-countries-on-amber-list/,The government says people shouldn’t travel to countries on the amber list – 7 colourful reactions,18/05/2021,1
21,https://www.thepoke.co.uk/2021/05/17/medieval-guide-to-new-coronavirus-rules/,A medieval guide to the changes in the UK’s coronavirus rules,17/05/2021,1
22,https://www.thepoke.co.uk/2021/05/14/ted-cruz-says-joe-biden-behind-chick-fil-a-sauce-shortage/,Ted Cruz thinks Joe Biden is behind the Chick-fil-A sauce shortage – 9 funniest cries of ‘fowl’,14/05/2021,1
23,https://www.thepoke.co.uk/2021/05/13/county-court-judgment-on-debt-in-the-pms-name/,There’s a county court judgment on a debt in the PM’s name – 12 crushing verdicts,13/05/2021,1
24,https://www.thepoke.co.uk/2021/05/12/government-plans-voter-id-unpopular/,The Queen’s Speech announcement on voter ID did badly in the exit polls,12/05/2021,1
25,https://www.thepoke.co.uk/2021/05/10/laurence-fox-richard-tice-opening-anti-woke-pub/,The funniest responses to Laurence Fox and Richard Tice opening an anti-woke pub,10/05/2021,1
26,https://www.thepoke.co.uk/2021/05/13/county-court-judgment-on-debt-in-the-pms-name/,There’s a county court judgment on a debt in the PM’s name – 12 crushing verdicts,13/05/2021,1
27,https://www.thepoke.co.uk/2021/05/12/government-plans-voter-id-unpopular/,The Queen’s Speech announcement on voter ID did badly in the exit polls,12/05/2021,1
28,https://www.thepoke.co.uk/2021/05/10/laurence-fox-richard-tice-opening-anti-woke-pub/,The funniest responses to Laurence Fox and Richard Tice opening an anti-woke pub,10/05/2021,1
29,https://www.thepoke.co.uk/2021/05/10/government-green-lighting-friendly-intimate-contact/,The government is green-lighting ‘friendly intimate contact’ – 17 mixed but funny reactions,10/05/2021,1
30,https://www.thepoke.co.uk/2021/05/09/laurence-foxs-catastrophic-london-mayoral-election-funny/,Laurence Fox’s catastrophic London mayoral election results got the response you’d expect,09/05/2021,1
