article_link,headline,posted_at,is_sarcastic
https://thehardtimes.net/blog/no-ones-leaving-this-venue-until-this-audience-figures-out-how-to-clap-in-5-4-time/,No One’s Leaving This Venue Until This Audience Figures out How to Clap in 5/4 Time,"8 June, 2021",1
https://thehardtimes.net/culture/meaning-behind-new-tattoo-revealed-to-be-decent-tax-return/,Meaning Behind New Tattoo Revealed to Be Decent Tax Return,"8 June, 2021",1
https://thehardtimes.net/music/show-promoter-captions-picture-of-himself-stealing-money-from-band-with-i-miss-this/,Show Promoter Captions Picture of Himself Stealing Money from Band with “I Miss This”,"8 June, 2021",1
https://thehardtimes.net/music/band-cant-afford-to-re-record-track-where-frontman-freaks-outs-on-guitarist/,Band Can’t Afford to Re-record Track Where Frontman Freaks Outs on Guitarist,"7 June, 2021",1
https://thehardtimes.net/music/guitar-store-manager-has-horrific-namm-flashback/,Guitar Store Manager Has Horrific NAMM Flashback,"6 June, 2021",1
https://thehardtimes.net/music/yngwie-malmsteen-lists-self-as-biggest-influence/,Yngwie Malmsteen Lists Self as Biggest Influence,"5 June, 2021",1
https://thehardtimes.net/blog/i-dont-listen-to-mainstream-music-unless-no-ones-around-then-i-do-exclusively/,"I Don’t Listen to Mainstream Music Unless No One’s Around, Then I Do Exclusively","1 June, 2021",1
https://thehardtimes.net/culture/punk-kicked-out-of-scene-after-getting-approved-for-discover-card/,Punk Kicked out of Scene After Getting Approved for Discover Card,"3 June, 2021",1
https://thehardtimes.net/culture/old-man-clearly-not-hip-to-the-lingo-white-kids-are-appropriating-these-days/,Old Man Clearly Not Hip to the Lingo White Kids Are Appropriating These Days,"2 June, 2021",1
https://thehardtimes.net/culture/punk-didnt-realize-being-an-anarchist-would-require-so-much-reading-and-social-organizing/,Punk Didn’t Realize Being an Anarchist Would Require so Much Reading and Social Organizing,"2 June, 2021",1
https://thehardtimes.net/music/hootie-and-the-blowfish-clarify-that-the-bassist-is-actually-hootie-not-the-singer/,"Hootie and the Blowfish Clarify That the Bassist Is Actually Hootie, Not the Singer","2 June, 2021",1
https://thehardtimes.net/culture/punk-house-argument-over-fixing-carbon-monoxide-detector-settled-suddenly-and-quietly/,Punk House Argument Over Fixing Carbon Monoxide Detector Settled Suddenly and Quietly,"1 June, 2021",1
https://thehardtimes.net/culture/40-year-old-punk-expecting-too-much-from-new-shoe-inserts/,40-Year-Old Punk Expecting Too Much From New Shoe Inserts,"31 May, 2021",1
https://thehardtimes.net/culture/fan-who-wont-pay-for-bands-music-or-merch-cant-believe-they-would-sell-out-and-put-song-in-commercial/,Fan Who Won’t Pay For Band’s Music or Merch Can’t Believe They Would Sell Out and Put Song in Commercial,"31 May, 2021",1
https://thehardtimes.net/music/soul-asylum-announce-they-never-broke-up-in-case-anyone-wondering/,Soul Asylum Announce They Never Broke Up in Case Anyone Wondering,"31 May, 2021",1
https://thehardtimes.net/culture/man-looking-for-casual-way-to-ask-if-nieces-birthday-party-is-byob/,Man Looking for Casual Way to Ask if Niece’s Birthday Party is BYOB,"25 May, 2021",1
https://thehardtimes.net/culture/white-men-talking-over-women-at-show-mistaken-for-punk-band/,White Men Talking Over Women at Show Mistaken For Punk Band,"25 May, 2021",1
https://thehardtimes.net/music/swedish-metal-guitarist-attempts-to-cut-down-tree-with-boss-hm-2-pedal/,Swedish Metal Guitarist Attempts to Cut Down Tree with Boss HM-2 Pedal,"23 May, 2021",1
https://thehardtimes.net/music/emo-singer-begs-girlfriend-to-dump-him-over-voicemail-so-he-can-use-message-as-sample/,Emo Singer Begs Girlfriend to Dump Him Over Voicemail so He Can Use Message as Sample,"23 May, 2021",1
https://thehardtimes.net/music/dave-grohl-reveals-hes-been-chewing-the-same-piece-of-gum-for-26-years/,Dave Grohl Reveals He’s Been Chewing the Same Piece of Gum for 26 Years,"22 May, 2021",1
https://thehardtimes.net/music/sunn-o-guitarist-finally-admits-that-third-was-a-typo/,Sunn O))) Guitarist Finally Admits That Third ) Was a Typo,"21 May, 2021",1
https://thehardtimes.net/blog/guys-i-just-heard-about-what-milli-vanilli-did-and-i-am-pissed-off/,"Guys, I Just Heard About What Milli Vanilli Did and I Am Pissed Off","20 May, 2021",1
https://thehardtimes.net/culture/phantom-planet-hoping-that-a-new-show-needs-a-theme-song-about-california/,Phantom Planet Hoping That a New Show Needs a Theme Song About California,"20 May, 2021",1
https://thehardtimes.net/culture/year-of-not-attending-shows-allows-woman-space-to-realize-she-hates-every-single-thing-about-them/,Year of Not Attending Shows Allows Woman Space to Realize She Hates Every Single Thing About Them,"19 May, 2021",1
https://thehardtimes.net/culture/marty-mcfly-stuck-in-1982-checks-bad-brains-liner-notes-to-see-exactly-when-lightning-supposed-to-strike-capitol-building/,Marty Mcfly Stuck in 1982 Checks Bad Brains Liner Notes to See Exactly When Lightning Supposed to Strike Capitol Building,"18 May, 2021",1
